,Parameter,Avg_r_hat,MAE,Coverage (%)
0,A,1.0012854050000002,0.004715956629452133,0.965
1,c,1.00095818,0.17623957086906528,0.995
2,gamma,1.001158735,0.11969217939512017,0.965
